key (非必须)：Key，用于控制框架是否替换控件。
controller (非必须)：TextEditingController，控制正在编辑的文本。
initialValue (非必须)：String，初始填充在编辑框中的文本。
focusNode (非必须)：FocusNode，用于管理键盘焦点。
decoration (非必须)：InputDecoration，定义装饰周围的输入框。
keyboardType (非必须)：TextInputType，用于优化键盘的输入类型。
textCapitalization (非必须)：TextCapitalization，控制文本的大小写转换。
textInputAction (非必须)：TextInputAction，键盘完成按钮的显示类型。
style (非必须)：TextStyle，正在编辑的文本样式。
strutStyle (非必须)：StrutStyle，用于确定每行的最小高度。
textDirection (非必须)：TextDirection，文本的阅读方向。
textAlign (非必须)：TextAlign，文本的对齐方式。
textAlignVertical (非必须)：TextAlignVertical，文本垂直对齐方式。
autofocus (非必须)：bool，是否在界面创建时自动获取焦点。
readOnly (非必须)：bool，如果为true，文本框将只读。
toolbarOptions (非必须)：ToolbarOptions，定义工具栏上的选项，如复制、粘贴等。
showCursor (非必须)：bool，是否在编辑状态下显示光标。
obscuringCharacter (非必须)：String，用于模糊文本字段的字符。
obscureText (非必须)：bool，是否隐藏正在编辑的文本，如密码。
autocorrect (非必须)：bool，是否启用自动更正。
smartDashesType (非必须)：SmartDashesType，控制插入破折号的行为。
smartQuotesType (非必须)：SmartQuotesType，控制插入引号的行为。
enableSuggestions (非必须)：bool，是否启用建议。
maxLengthEnforcement (非必须)：MaxLengthEnforcement，最大长度执行方式。
maxLines (非必须)：int，输入框的最大行数。
minLines (非必须)：int，输入框的最小行数。
expands (非必须)：bool，是否允许输入框在垂直方向上扩展。
maxLength (非必须)：int，输入框的最大长度。
onChanged (非必须)：ValueChanged<String>，当输入框中的文本发生变化时的回调。
onTap (非必须)：GestureTapCallback，当用户点击输入框时的回调。
onTapOutside (非必须)：TapRegionCallback，当用户点击输入框外部时的回调。
onEditingComplete (非必须)：VoidCallback，当用户完成编辑时的回调。
onFieldSubmitted (非必须)：ValueChanged<String>，当用户在输入框中按下提交按钮时的回调。
onSaved (非必须)：FormFieldSetter<String>，当表单调用其save方法时的回调。
validator (非必须)：FormFieldValidator<String>，用于验证输入的回调。
inputFormatters (非必须)：List<TextInputFormatter>，用于指定输入格式。
enabled (非必须)：bool，如果为false，文本字段将被禁用。
cursorWidth (非必须)：double，光标的宽度。
cursorHeight (非必须)：double，光标的高度。
cursorRadius (非必须)：Radius，光标的角半径。
cursorColor (非必须)：Color，光标的颜色。
keyboardAppearance (非必须)：Brightness，键盘的亮度。
scrollPadding (非必须)：EdgeInsets，当用户开始编辑时，视图是否滚动。
enableInteractiveSelection (非必须)：bool，是否启用交互式选择。
selectionControls (非必须)：TextSelectionControls，文本选择控制。
buildCounter (非必须)：InputCounterWidgetBuilder，构建显示当前字符计数的小部件。
scrollPhysics (非必须)：ScrollPhysics，滚动物理行为。
autofillHints (非必须)：Iterable<String>，自动填充的提示。
autovalidateMode (非必须)：AutovalidateMode，自动验证模式。
scrollController (非必须)：ScrollController，滚动控制器。
restorationId (非必须)：String，用于保存和恢复状态的ID。
enableIMEPersonalizedLearning (非必须)：bool，是否启用输入法的个性化学习。
mouseCursor (非必须)：MouseCursor，鼠标光标。
contextMenuBuilder (非必须)：EditableTextContextMenuBuilder，上下文菜单构建器。
spellCheckConfiguration (非必须)：SpellCheckConfiguration，拼写检查配置。
magnifierConfiguration (非必须)：TextMagnifierConfiguration，放大镜配置。
undoController (非必须)：UndoHistoryController，撤销历史控制器。
onAppPrivateCommand (非必须)：AppPrivateCommandCallback，应用程序私有命令回调。
cursorOpacityAnimates (非必须)：bool，光标透明度是否动画化。
selectionHeightStyle (非必须)：ui.BoxHeightStyle，选择的高度样式。
selectionWidthStyle (非必须)：ui.BoxWidthStyle，选择的宽度样式。
dragStartBehavior (非必须)：DragStartBehavior，拖动开始行为。
contentInsertionConfiguration (非必须)：ContentInsertionConfiguration，内容插入配置。
clipBehavior (非必须)：Clip，剪辑行为。
scribbleEnabled (非必须)：bool，是否启用涂鸦。
canRequestFocus (非必须)：bool，是否可以请求焦点。
