景点名称,景点标签,景点地址
西田公园,旅游景点;公园,深圳市光明区西田路
凤凰山,旅游景点;公园,广东省深圳市宝安区福永街道凤凰村
宝安区求雨坛,旅游景点;风景区,广东省深圳市宝安区
宝安西湾红树林公园,旅游景点;公园,广东省深圳市宝安区金湾大道与西海堤交汇处
深圳沙井公园,旅游景点;公园,深圳市宝安区沙井街道壆岗社区蚝乡路与将军路交叉口东北侧
宝安公园,旅游景点;公园,广东省深圳市宝安区公园路与西乡大道交叉口东南700米
大阳台山旅游区,旅游景点;风景区,广东省深圳市宝安区石岩文化艺术中心旁
欢乐港湾,旅游景点;风景区,广东省深圳市宝安区海府路与新安西路交叉口西南200米
光明新城公园,旅游景点;公园,广东省深圳市光明区光明街道公园路
碧海湾公园,旅游景点;公园,深圳市宝安区新湾路317号
警银亭,旅游景点;风景区,广东省深圳市宝安区新安街道裕安二路206-、208号
深圳市宝安区石岩坑尾,旅游景点,广东省深圳市宝安区石岩街道菜鸟驿站深圳石岩坑尾新村四巷13号店
慕茶营地(深圳)福永十亩地店,旅游景点;其他,广东省深圳市宝安区温馨路62号
城市露营烧烤吧,旅游景点;其他,深圳市宝安区塘头一号路宝安成晖石材园(宝石公路辅路)
深圳市宝安区西乡镇禅林寺,旅游景点,深圳市宝安区径贝新村路径贝新村
花溪谷,旅游景点,深圳市宝安区上屋大道下屋新村南侧
物业岗亭,旅游景点,广东省深圳市宝安区燕罗街道幸福路
三才堂,旅游景点,深圳市宝安区天云路商住小区
临风亭,旅游景点;景点,深圳市宝安区新安四路宝安公园
泽培陈公祠,旅游景点;文物古迹,深圳市宝安区燕川北巷6号
福石,旅游景点;景点,深圳市宝安区大浪街道布龙公路赖屋山新村阳台山森林公园
祥和亭,旅游景点;风景区,深圳市宝安区如意路罗租村
谢氏祠堂,旅游景点;文物古迹,深圳市宝安区龙眼山路龙腾苑西侧约30米
深圳市宝安区福永凤凰,旅游景点,兴业一路88号
文化长廊景点,旅游景点;景点,深圳市宝安区西城工业城内铁仔山公园
石岩湖湿地碧道,旅游景点;风景区,广东省深圳市宝安区径背村路
天空之城水上乐园(新沙天虹购物中心店),旅游景点;游乐园,广东省深圳市宝安区沙井街道东塘社区沙井西环路2105号新沙天虹购物中心F8
深圳市海之洋贝壳博物馆,旅游景点;博物馆,广东省深圳市宝安区沙井街道沙井路180号金沙童话三楼
梦马儿童成长中心,旅游景点;游乐园,广东省深圳市宝安区上星路90
小玩家梦工厂(石岩主场店),旅游景点;游乐园,广东省深圳市宝安区宝石南路89号
天后古庙,旅游景点;寺庙,深圳市宝安区沙井大街178号
米兜欢乐王国(新沙天虹购物中心店),旅游景点;游乐园,广东省深圳市宝安区沙井街道东塘社区沙井西环路2105号新沙天虹购物中心F3
福堤花阶,旅游景点;景点,深圳市宝安区榕树路与254县道交叉口北50米立新湖公园
欢乐小玩家(新沙天虹购物中心店),旅游景点;游乐园,广东省深圳市宝安区沙井街道东塘社区沙井西环路2105号新沙天虹购物中心F5
开心兔儿童成长中心,旅游景点;游乐园,深圳市宝安区民主大道濠景时代
红花山公园,旅游景点;公园,广东省深圳市光明区公明街道振明路88号
海上田园,旅游景点;风景区,深圳市宝安区沙井街道民主社区民主大道
铁仔山公园,旅游景点;公园,广东省深圳市宝安区西乡大道和广深公路交叉口
罗田森林公园,旅游景点;公园,广东省深圳市宝安区松岗立交东500米
深圳(宝安)劳务工博物馆,旅游景点;博物馆,广东省深圳市宝安区石岩街道上屋居委永和路6号
宝安科技馆,旅游景点;其他,广东省深圳市宝安区龙井二路95号
长圳公园,旅游景点;公园,广东省深圳市光明区玉塘街道长圳社区长凤路359号
下村公园,旅游景点;公园,深圳市水贝路128(下村公园)
海滨公园,旅游景点;公园,广东省深圳市宝安区固戍村
立新湖公园,旅游景点;公园,广东省深圳市宝安区福海街道桥头社区稔山二路
