景点名称,景点标签,景点地址
深圳中心公园,旅游景点;公园,深圳市福田区振华西路1号
深圳湾公园,旅游景点;公园,深圳市福田区滨海大道
红树林海滨生态公园,旅游景点;公园,广东省深圳市福田区滨河大道
莲花山公园,旅游景点;公园,广东省深圳市福田区莲花街道红荔路6030号
笔架山公园,旅游景点;公园,深圳市福田区梅岗路26号
上梅林文体公园,旅游景点;公园,广东省深圳市福田区梅林街道新头社区梅林路133号
荔枝公园,旅游景点;公园,深圳市福田区红岭中路1001号
福田红树林生态公园,旅游景点;公园,广东省深圳市福田区福荣路和新洲路交汇处
景观亭,旅游景点;景点,深圳市福田区下梅林梅亭路2-23号下梅林文体公园
福田红树林公园人行桥,旅游景点,深圳市福田区香樟道红树福苑西侧约170米
福田河碧道,旅游景点;风景区,广东省深圳市福田区河绿道
云梦福田,旅游景点;景点,深圳市福田区职教街8号
深圳市清真寺,旅游景点;寺庙,广东省深圳市福田区梅林街道梅林路7号(孖岭地铁站C口步行170米)
三圣宫,旅游景点;其他,广东省深圳市福田区梅亭路14-2号
安迪斯儿童广场(东园路店),旅游景点;游乐园,广东省深圳市福田区东园路31号
思月书院,旅游景点;文物古迹,广东省深圳市罗湖区人民路二横街79号
万佛禅寺,旅游景点;寺庙,深圳市罗湖区罗沙路5026号
长城三花园,旅游景点,广东省深圳市福田区园岭街道百花五路5号
乐高乐园,旅游景点;游乐园,广东省深圳市福田区侨香路3022号合正置地大厦F3 
皇岗公园,旅游景点;公园,深圳市福田区福强路2002号
木星美术馆,旅游景点;其他,广东省深圳市福田区蓝花道6号
深圳科学馆,旅游景点;其他,广东省深圳市福田区上步中路1003号
深圳市儿童乐园,旅游景点;游乐园,广东省深圳市福田区农林路71号
深圳国际园林花卉博览园,旅游景点;公园,深圳市福田区香蜜湖街道香岭社区深南大道竹子林段8002号
罗湖美术馆,旅游景点;其他,广东省深圳市罗湖区南极路6号
黄贝岭牌坊,旅游景点,深圳市罗湖区深南东路1036号
赤尾村牌坊,旅游景点;其他,深圳市福田区华强南路
笋岗村牌坊,旅游景点,广东省深圳市罗湖区宝岗路90号
平安金融中心云际观光层,旅游景点;其他,深圳市福田区益田路5033号平安金融中心116层
梅林山公园,旅游景点;公园,深圳市福田区梅亭路14号
市民中心公园,旅游景点;公园,广东省深圳市福田区深南大道市民中心广场前(近市民中心)
深圳市基督教深圳堂,旅游景点;教堂,广东省深圳市福田区梅林路126号
深圳革命烈士陵园,旅游景点;文物古迹,深圳市福田区北环大道与彩田路交叉口
香蜜公园,旅游景点;公园,深圳市福田区农园路30号
彩田公园,旅游景点;公园,深圳市福田区彩云路18号
深圳市围岭公园,旅游景点;公园,深圳市罗湖区金稻田路1603号
罗湖人才公园,旅游景点;公园,深圳市罗湖区清水河街道银湖路东200米
深圳博物馆,旅游景点;博物馆,广东省深圳市福田区莲花街道金田路4001号
银湖山红岗公园,旅游景点;公园,广东省深圳市罗湖区坭岗东路1112号
石厦大榕树,旅游景点;其他,广东省深圳市福田区石厦东村236栋301
锦绣园,旅游景点;公园,广东省深圳市福田区三龙花园附近
向日葵公园,旅游景点;公园,广东省深圳市福田区中心五路与福华一路交叉口东北100米
深圳博物馆-古代艺术馆,旅游景点;博物馆,广东省深圳市福田区同心路6号
街心公园,旅游景点;公园,深圳市福田区景田北一街30号附近
下沙博物馆,旅游景点;博物馆,广东省深圳市福田区下沙大道文化广场北侧
175STAR多彩乐园,旅游景点;景点,深圳市福田区沙河街道滨海大道2008号欢乐海岸内
下梅林文体公园,旅游景点;公园,深圳市梅亭路2-23西南方向80米
罗湖体育休闲公园,旅游景点;公园,深圳市罗湖区黄贝街道办爱国路东湖二路10号
交通主题公园,旅游景点;公园,广东省深圳市福田区景田北七街1东北60米
天主教深圳圣安多尼堂,旅游景点;教堂,深圳市福田区农林路65号
景田片区梅富社区公园,旅游景点;公园,深圳市福田区景田东路82号
福田河绿道,旅游景点;其他,深圳市福田区福田河绿道福田中学西侧约100米
东湖公园-u5绿道,旅游景点,深圳市罗湖区东湖公园东湖二路15号
白沙岭社区公园,旅游景点;公园,广东省深圳市福田区百花四路
深圳市基督教福星教会,旅游景点;教堂,深圳市福田区福星路福星花园裙楼四楼413室
碰碰车,旅游景点;景点,深圳市福田区农林路71号深圳市儿童乐园
梅富北社区公园,旅游景点;公园,深圳市福田区北环大道6003号
景丽社区公园,旅游景点;公园,深圳市福田区景丽社区旁
福田紫薇公园,旅游景点;公园,深圳市福田区新洲路4007号
浮香廊,旅游景点;风景区,广东省深圳市福田区梅山路
福田美术馆,旅游景点;其他,广东省深圳市福田区梅东二路5号
梅林公园芳香区,旅游景点;公园,深圳市福田区梅村路135号
静思亭,旅游景点;文物古迹,深圳市福田区笔架山公园内部
红荔社区公园,旅游景点;公园,深圳市福田区红荔路深圳实验学校(初中部)西南侧约40米
香梅北社区公园,旅游景点;公园,广东省深圳市福田区香梅路2003号
深圳市福田区福民追梦公园,旅游景点;公园,广东省深圳市福田区福民路2-6号
包公殿,旅游景点;文物古迹,深圳市福田区侨城东路深南大道8002号深圳国际园林花卉博览园内
浸月桥,旅游景点;景点,深圳市福田区同心路荔枝公园
深圳市花园,旅游景点;景点,深圳市福田区侨城东路2002号附近
中心公园E1区-小凉亭,旅游景点,深圳市福田区笋岗西路深圳中心公园
深圳市老玩童博物馆,旅游景点;博物馆,广东省深圳市福田区竹子林五路16号
海盗船,旅游景点;景点,广东省深圳市福田区农林路71号儿童乐园内
岗边伯公庙,旅游景点;寺庙,广东省深圳市福田区滨河大道3020号
时间胶囊博物馆(深业上城店),旅游景点;博物馆,广东省深圳市福田区华富街道深业上城商场内205号商铺
赤尾站微绿地,旅游景点;景点,广东省深圳市福田区滨河大道3203号赤尾站
国税林,旅游景点;风景区,深圳市福田区红荔路6030号莲花山公园内(儿童医院对面)
深圳市妇儿大厦图画书博物馆,旅游景点;博物馆,深圳市福田区景田路78号妇儿大厦二层
迎风皎月,旅游景点;景点,深圳市福田区红岭中路与大剧院北街交叉路口西南侧荔枝公园
深圳市卓建法律博物馆,旅游景点;博物馆,广东省深圳市福田区莲花街道深南大道2008-6
深圳市华晟玉缘博物馆,旅游景点;博物馆,广东省深圳市福田区华强北街道上步中路1001号7层
GPU历史博物馆,旅游景点;博物馆,广东省深圳市福田区梅林街道梅坳八路26
象棋博物馆,旅游景点;博物馆,深圳市福田区深南大道7008号阳光高尔夫大厦
