景点名称,景点标签,景点地址
北站中心公园,旅游景点;公园,广东省深圳市龙华区深圳北站西广场对面
阳台山森林公园,旅游景点;公园,广东省深圳市龙华区大浪街道布龙路
观澜版画村,旅游景点;风景区,广东省深圳市龙华区观澜街道牛湖社区大水田裕新路169号
观澜河湿地公园,旅游景点;公园,广东省深圳市龙华区福城街道茜坑社区竹村老围路(竹村东区东侧)
白石龙音乐主题公园,旅游景点;公园,广东省深圳市龙华区新区大道与金龙路交叉口西南200米
深圳德逸公园,旅游景点;公园,广东省深圳市龙华区民治街道幸福枫景德佑地产15号门店
清湖文化公园,旅游景点;公园,清华东路12-10号附近
观澜古墟,旅游景点;文物古迹,广东省深圳市龙华区观澜街道观澜古寺旁
九龙山体育公园,旅游景点;公园,广东省深圳市龙华区观光路与观兴东路交叉口
石凹公园,旅游景点;公园,广东省深圳市龙华区石凹村
七彩梦儿童中心,旅游景点;游乐园,广东省深圳市龙华区观湖街道锦绣路8号
雨晨玩乐园,旅游景点;游乐园,深圳市龙华区翠幽路竹村老围-三区东侧约60米
亲子娱乐(iCO时尚购物领地店),旅游景点;游乐园,深圳市龙华区龙华广场三路星河iCO(龙华店)
龙华河碧道2号段,旅游景点;风景区,广东省深圳市龙华区龙环二路263号
萌趣乐园(金龙华广场1期店),旅游景点;游乐园,广东省深圳市龙华区龙观东路3号金龙华广场一期2楼
陂头吓社区公园,旅游景点;公园,深圳市龙华区桂月路深圳乐博幼儿园东侧约170米
关爷文化博物馆(深圳馆),旅游景点;博物馆,广东省深圳市龙华区清华东路120号
香格里儿童乐园,旅游景点;游乐园,广东省深圳市龙华区观澜大道396号
龙华,旅游景点;景点,深圳市龙华区观光路富士康科技集团宝源科技园
龙华区奋斗记忆馆,旅游景点;文物古迹,深圳市龙华区
欢乐小玩家(天虹商场龙华龙观店),旅游景点;游乐园,广东省深圳市龙华区龙华街道龙园社区龙观东路445号联华世纪广场1-5层(花园新村门楼侧)天虹商场(龙华店)F5
