景点名称,景点标签,景点地址
仙桐体育公园,旅游景点;公园,广东省深圳市罗湖区莲塘街道梧桐山南地铁站A2口北约300米
深圳仙湖植物园,旅游景点;植物园,广东省深圳市罗湖区莲塘街道仙湖社区仙湖路160号
洪湖公园,旅游景点;公园,广东省深圳市罗湖区笋岗街道洪湖社区文锦北路2023号
东湖公园,旅游景点;公园,广东省深圳市罗湖区黄贝街道爱国路4006号
翠竹公园,旅游景点;公园,广东省深圳市罗湖区翠竹街道翠竹社区翠竹路1078号
人民公园,旅游景点;公园,广东省深圳市罗湖区人民北路3071号
深圳市围岭公园,旅游景点;公园,深圳市罗湖区金稻田路1603号
广东梧桐山国家森林公园,旅游景点;公园,广东省深圳市罗湖区莲塘街道罗沙路2076号
罗湖美术馆,旅游景点;其他,广东省深圳市罗湖区南极路6号
风铃溪谷,旅游景点;景点,深圳市罗湖区丹平快速路与淘金山绿道交叉路口往东北约220米
棕榈园,旅游景点;景点,深圳市罗湖区莲塘街道仙湖社区仙湖路160号仙湖植物园内
棋国象棋博物馆,旅游景点;博物馆,深圳市罗湖区梧桐绿道梧桐文体公园西南侧约170米
宝拉的创意乐园(太阳百货店),旅游景点;游乐园,广东省深圳市罗湖区解放路2001号太阳百货F5
蝴蝶馆,旅游景点,深圳市罗湖区东门中路2269号深圳儿童公园内童趣园
深圳国际贸易中心历史陈列馆,旅游景点;博物馆,深圳市罗湖区人民南路3002号深圳国际贸易中心大厦42楼
望桐露营地深圳市梧桐山扫码点餐店,旅游景点;其他,广东省深圳市罗湖区东湖街道梧桐山社区赤水洞村16-2号101
童趣时光(喜荟城购物中心店),旅游景点;游乐园,广东省深圳市罗湖区东湖街道东乐社区太宁路8号喜荟城购物中心F3
登云道,旅游景点;景点,深圳市罗湖区畔山路72号
黄贝岭公园,旅游景点;公园,广东省深圳市罗湖区黄贝岭二路(深业东岭西侧)
天池,旅游景点;景点,深圳市罗湖区莲塘仙湖路160号仙湖植物园内
铁路公园,旅游景点;公园,深圳市罗湖区草埔地铁站D3口东南50米
封山育林区,旅游景点;景点,深圳市罗湖区望桐路梧桐山内
