景点序号,景点名称,景点标签,景点地址
1,南山区中山公园,旅游景点;公园,广东省深圳市南山区南山大道3109号
2,南山公园,旅游景点;公园,广东省深圳市南山区南山街道荔湾社区别墅路8号
3,深圳市人才公园,旅游景点;公园,广东省深圳市南山区粤海街道蔚蓝海岸社区科苑南路3329号
4,深圳欢乐谷,旅游景点;游乐园,广东省深圳市南山区沙河街道星河街社区侨城西街18号
5,南山博物馆,旅游景点;博物馆,广东省深圳市南山区南山大道2093号
6,大南山,旅游景点,深圳市南山区沿山路南山公园
7,深圳野生动物园,旅游景点;动物园,广东省深圳市南山区西丽街道丽湖社区西丽湖路4086号(西丽湖地铁B口)
8,南山明灯景区,旅游景点;风景区,深圳市南山区别墅路8号南山公园内
9,南头古城,旅游景点;文物古迹,深圳市南山区南山大道与深南大道交叉口
10,南山区荷兰花卉小镇,旅游景点,广东省深圳市南山区南头街道星海名城社区月亮湾大道3008号
11,大沙河生态长廊,旅游景点;景点,广东省深圳市南山区西丽街道沿河路10
12,西丽湖,旅游景点;风景区,广东省深圳市南山区西丽湖路4001号
13,女娲滨海公园,旅游景点;公园,广东省深圳市南山区海上世界望海路37路总站直入300米
14,小南山公园-南山妈祖庙,旅游景点,深圳市南山区棉山路小南山公园
15,灯塔纪念台地,旅游景点;其他,深圳市南山区蛇口半岛城邦一期东南(金世纪路东)
16,前海石,旅游景点;风景区,广东省深圳市南山区前湾一路西150米
17,深圳精神,旅游景点;景点,广东省深圳市南山区悠然路荔香公园
18,赤湾村,旅游景点;公园,深圳市南山区赤湾六路山海逸居西侧约100米
19,深圳蛇口海洋科普馆,旅游景点;其他,广东省深圳市南山区蛇口大厦副楼
20,深圳市水土保持科技示范园,旅游景点,广东省深圳市南山区沙河西路4148号
21,南山公园-南山观景台,旅游景点,广东省深圳市南山区月亮湾青青路1号青青世界内
22,平山村牌坊,旅游景点,深圳市南山区平山村丽山路
23,南山公园-海关登山口,旅游景点;其他,深圳市南山区沿山路8号南山公园
24,南山区平山社区平山公园,旅游景点;公园,深圳市南山区平山村365号302房
25,深圳湾公园-弯月山谷,旅游景点;公园,广东省深圳市南山区深圳湾公园弯月山谷
26,科苑公园,旅游景点;公园,广东省深圳市南山区科丰路与琼宇北直街交叉口东南方向90米
27,深圳博物馆,旅游景点;博物馆,广东省深圳市南山区前湾四路与金岸中街交叉口
28,深圳前海展示厅,旅游景点,广东省深圳市南山区前湾一路1号
29,深圳欢乐谷-矿山车站,旅游景点;景点,深圳市南山区欢乐谷内
30,前海运动公园,旅游景点;公园,广东省深圳市南山区南山街道前湾二路与鲤鱼门街交叉口西150米
31,文天祥纪念公园,旅游景点;公园,广东省深圳市南山区赤湾六路与兴海大道交叉口西南150米
32,南山本草公园,旅游景点;公园,广东省深圳市南山区南山大道深圳艺术学校南50米
33,深圳地铁深云文体公园,旅游景点;公园,广东省深圳市南山区南坪快速路NOCC大厦东北侧
34,塘朗山顶峰,旅游景点;景点,广东省深圳市南山区龙珠六路尽头处塘朗山公园内(西侧)
35,长岭陂,旅游景点,深圳市南山区留仙大道与塘长路交叉路口往西北约100米
36,塘朗村社区公园,旅游景点;公园,广东省深圳市南山区塘益路
37,深圳南山青铜博物馆,旅游景点;博物馆,深圳市南山区和谐路与人民路交叉路口往西南约190米
38,天后宫,旅游景点;寺庙,广东省深圳市南山区月亮湾棉山路香格名苑小区后面
39,南山公园-观景台,旅游景点,深圳市南山区南山街道荔湾社区别墅路8号南山公园
40,深圳大学-博物馆,旅游景点;博物馆,深圳市南山区南海大道3688号深圳大学校友广场负一楼
41,南山明珠,旅游景点;景点,深圳市南山区南光路与南头街交界处深圳荔香公园内
42,深圳市阿山荔枝百年古树场区,旅游景点;景点,深圳市南山区丽康路大勘二村西北侧约30米
43,深圳至正艺术博物馆南山馆,旅游景点;博物馆,深圳市南山区汀泽一路中国华润大厦
44,深圳市野生动物园-鹌鹑,旅游景点;动物园,深圳市南山区丽水路深圳野生动物园西一门东侧约60米
45,深圳市公园管理中心-塘朗山郊野公园,旅游景点;公园,深圳市南山区极目阁路塘朗山郊野公园
46,深圳市动物学科普馆,旅游景点;动物园,深圳市南山区西丽镇西丽路4065号深圳野生动物园内
47,深圳市野生动物园-奶牛,旅游景点;动物园,广东省深圳市南山区西丽街道西丽湖路4065
48,深圳人才公园人才星光大道,旅游景点,深圳市南山区沙河西路深圳人才公园
49,虫洞市集,旅游景点,深圳市南山区高新北五道博讯大厦东南侧
50,深云径,旅游景点;景点,深圳市南山区塘朗山郊野公园
51,深圳野生动物园-浣熊,旅游景点;动物园,深圳市南山区西丽湖路4065号深圳野生动物园(西丽湖东侧)
52,深国际前海图钉Camp(南山区店),旅游景点;其他,广东省深圳市南山区港城街99号深国际前海颐都大厦5F-6F层
53,南山公园别墅-登山口,旅游景点,深圳市南山区沿山路明华国际会议中心
54,深圳锦绣中华民俗村-南滨古榕,旅游景点;景点,广东省深圳市南山区深南大道深圳华侨城洲际大酒店东门东侧约50米
55,寄山桃公园,旅游景点;公园,广东省深圳市南山区桃源街道
56,深圳淘淘乐宠物公园,旅游景点;公园,广东省深圳市南山区沙河东路118-15
57,猿猴村-山魈,旅游景点;景点,深圳市南山区西丽湖路4065号深圳野生动物园内
58,深圳市基督教美年堂,旅游景点;教堂,广东省深圳市南山区南海大道花样年美年广场内5栋
59,土家水上街市,旅游景点;景点,深圳市南山区深南大道9003号中国民俗文化村内
60,CMA·印山海露营(深圳来福士店),旅游景点;其他,广东省深圳市南山区南山大道2163来福士商场L5层空中花园
